Term,Freq
ontwikkelingspotentieel,1635
ontwikkelingsgebied,1636
diabetes,1639
woordenboek,1642
woordenboek van afkortingen,1643
dieselmotor,1644
gasolie,1645
invoering van vernieuwingen,1647
digitaal archiveren,1648
digitaal contract,1649
digitale kloof,1650
digitale cultuur,1652
beheer van digitale rechten,1653
digitale eengemaakte markt,1654
digitale technologie,1655
digitalisering,1656
diploma,1658
diplomatieke onschendbaarheid,1659
personeel in diplomatieke dienst,1660
diplomatieke bescherming,1661
diplomatiek protocol,1662
diplomatieke betrekking,1663
diplomatieke vertegenwoordiging,1664
rechtstreekse toepasselijkheid,1665
directe kosten,1666
directe democratie,1667
directe investering,1668
richtlijn,1669
directe verkoop,1673
directe belasting,1674
invaliditeitsverzekering,1675
gehandicapte,1676
ontwapening,1678
afgekeurde vangst,1680
tuchtprocedure,1682
doorgeven van informatie,1683
disconto,1684
discontovoet,1685
discretionaire macht,1688
discriminatie op grond van een handicap,1689
discriminatie op grond van nationaliteit,1690
discriminatie op grond van seksuele geaardheid,1691
discriminerende prijs,1692
ziekte van het zenuwstelsel,1693
voorkoming van ziekten,1694
desinformatie,1696
ontslag,1697
bekendmaking,1698
verspreiding van de cultuur,1700
informatieverspreiding,1702
onderwijs op afstand,1705
distillatie,1707
handelsonderneming,1708
leeftijdsverdeling,1709
verdeling naar geslacht,1710
distributiekosten,1711
spreiding van de hulpverlening,1712
inkomensverdeling,1714
verdeling van de productie,1715
verdeling van de belasting,1717
verdeling van de stemmen,1718
verdeling van de rijkdom,1719
verdeling per hoofd beroepsbevolking,1720
commerciële distributie,1721
distributeur,1722
diversificatie van de uitvoer,1724
verkaveling,1725
indeling in kiesdistricten,1726
verdeling van de bevoegdheden,1727
echtscheiding,1729
gescheiden persoon,1730
dokter,1734
document,1735
verwerving van documentatie,1736
documentair krediet,1737
registratie van documenten,1738
documentair hulpmiddel,1739
documentatie,1740
indexeren van teksten,1743
documentenbeheer,1744
opslag van documenten,1746
dolfijn,1750
huisdier,1751
binnenlands verbruik,1752
binnenlandse markt,1753
binnenlands beleid,1754
nationaal product,1755
binnenlandse handel,1756
huiselijk geweld,1757
huishoudelijk afval,1758
machtspositie,1759
gift,1762
donorland,1763
verkoop aan huis,1764
dubbele belasting,1766
invoer per lijn,1767
ontwerp-begroting,1768
drainage,1771
opstellen van de begroting,1773
baggeren,1775
droog product,1777
boren,1778
boormateriaal,1779
consumptiemelk,1780
drinkwater,1781
bestuurder,1782
rijbewijs,1784
besturingsinrichting,1785
rijtijd,1786
voortijdige schoolverlating,1788
droogte,1789
farmaceutische nomenclatuur,1792
inspectie van geneesmiddelen,1793
handel in verdovende middelen,1794
dubbele nationaliteit,1796
goederen voor dubbel gebruik,1797
technologie voor dubbel gebruik,1798
dumping,1800
in zee storten van afvalstoffen,1801
duurzame goederen,1802
harde tarwe,1803
stof,1804
plichten van de ambtenaar,1805
belastingvrije verkoop,1806
kleurstof,1807
vroegste kinderjaren,1824
vervroegde verkiezing,1825
vervroegd pensioen,1827
aarde en gesteenten,1830
ecologisch evenwicht,1863
ecotoerisme,1864
ecologie,1866
ecologische beweging,1867
econometrie,1869
economische activiteit,1871
economisch aggregaat,1872
economische overeenkomst,1873
economische hulp,1874
economische analyse,1875
economische en sociale samenhang,1878
economische concentratie,1881
economische toestand,1882
economisch gevolg,1883
conjuncturele voorraad,1884
economische convergentie,1885
economische omschakeling,1886
economische samenwerking,1887
economische kringloop,1888
economische ontwikkeling,1889
discriminatie op grond van economische situatie,1890
economische ongelijkheid,1891
economische fluctuatie,1892
economische prognose,1893
economische geografie,1894
economische groei,1896
economische onafhankelijkheid,1897
economische indicator,1898
economische infrastructuur,1899
economisch instrument voor het milieu,1900
economische integratie,1901
economische informatievergaring,1902
wederzijdse economische afhankelijkheid,1903
economisch model,1906
economisch delict,1907
economische planning,1908
economisch beleid,1909
economische prioriteit,1910
economische recessie,1911
economische wederopbouw,1912
economisch herstel,1913
economische hervorming,1914
economisch gebied,1915
economische betrekking,1916
economische hulpbron,1917
economische rechten,1918
economische wetenschap,1919
economische sanctie,1920
economische sector,1921
economische situatie,1922
econoom,1923
economische stabilisatie,1924
economische stagnatie,1925
economische statistiek,1926
economische structuur,1927
economische steun,1928
economisch onderzoek,1929
economisch stelsel,1930
loskomen uit economische stagnatie,1931
economisch overgangsproces,1932
economische unie,1933
economische waarde,1934
kostenbesparing door schaalvergroting,1935
economie,1936
ecosysteem,1939
opleiding,1956
onderwijsinstelling,1960
onderwijssysteem,1963
kosten van onderwijs,1965
studietoelage,1966
onderwijs voor buitenlanders,1967
onderwijs onder toezicht,1968
onderwijsbeleid,1969
ei,1981
eiproduct,1982
bejaarde,1986
verkiezing,1987
verkiezingscampagne,1988
kosten van de verkiezingen,1990
financiering van een verkiezing,1991
toezicht op de verkiezingen,1992
verkiezingsfraude,1998
kiesrecht,1999
hervorming van het kiesstelsel,2001
kiezerslijst,2002
kiesstelsel,2003
elektrische energie,2005
elektrotechnische industrie,2006
elektrisch materiaal,2007
elektrische industrie,2008
elektrisch procédé,2009
elektrische kabel,2010
elektrische accumulator,2011
elektriciteitsvoorziening,2012
elektrische machine,2013
elektrisch voertuig,2014
elektromagnetisch materiaal,2016
elektromagnetische schadelijke invloed,2017
elektronische handel,2020
elektronisch onderdeel,2021
elektronisch apparaat,2022
elektronisch document,2023
elektronisch document management,2024
elektronische uitrusting,2025
digitaal spel,2026
elektronische overheid,2027
elektronische post,2028
elektronisch betaalmiddel,2029
elektronisch publiceren,2030
elektronica,2031
elektronische handtekening,2032
elektronische industrie,2033
elektronische stemming,2034
elektronisch afval,2035
elektrotechniek,2036
ontvankelijkheidscriterium,2037
subsidiabel gebied,2038
ambassade,2042
ongeboren vrucht,2043
noodhulp,2044
geneeskundige noodhulp,2045
emigratie,2046
emissierechten,2048
emissiehandel,2049
werkgever,2050
